Disaggregation,Number of indicators,Number of values
Age,11,20
Base period,6,3
BASE_PER,6,3
COMMENT_OBS,69,168
Composite breakdown,19,93
Custom Breakdown,3,10
Degree of urbanisation,9,4
Disability status,1,2
Economic activity,5,8
Education level,6,8
Income or wealth quantile,5,7
Label for custom breakdown,3,10
Lower bound value,12,55
LOWER_BOUND,17,440
Nature of data points,15,6
NATURE,28,5
OBS_STATUS,4,3
Observation-level footnotes,52,99
Occupation,2,15
SDG Series,85,319
Sex,33,3
Source details,30,89
SOURCE_DETAIL,45,248
Type of product,6,26
Unit of measure,36,21
UNIT_MULT,9,4
Upper bound value,12,55
UPPER_BOUND,17,456
