Value,Disaggregation combinations using this value,Number of indicators
2020 dataset disaggregated into relevant themes,1,1
Abnormally high defined as IFPA>=1; Moderately high defined as 0.5=<IFPA< 1; Twelve month average of monthly price anomalies,1,1
"ABS measures reported refers to legislative, administrative and policy framework or measures reported to the ABS Clearing-House. For values:  TRUE = 1.0; FALSE = 0.0. Data as per 15 February 2017.",1,1
"Accessed September 14, 2022. Based on data from EHCVM. Estimated from unit-record consumption data. ",1,1
"Accessed September 14, 2022. Based on data from EP. Estimated from grouped consumption data. ",1,1
"Accessed September 14, 2022. Based on data from ESAM. Estimated from grouped consumption data. ",1,1
"Accessed September 14, 2022. Based on data from ESAM-II. Estimated from unit-record consumption data. ",1,1
"Accessed September 14, 2022. Based on data from ESPS-I. Estimated from unit-record consumption data. ",1,1
"Accessed September 14, 2022. Based on data from ESPS-II. Estimated from unit-record consumption data. ",1,1
"Accessed September 14, 2022. Survey name: EHCVM. Uses a consumption aggregate, which is not spatially deflated.",7,1
Age coverage - minimum age: 10 years old,3,1
Annual data as of 1 Feb of given year.,2,1
"At the national level, data on generation are estimated data. Thus, for a given year, the national generation of waste is estimated on the basis of 0.5kg per capita per day (figure provided by a study conducted by the Ministry of Environment) and the population provided by the National  Statistics and Demography Agency.",1,1
Based on data from EHCVM. Estimated from unit-record consumption data. ,1,1
Based on data from EP. Estimated from grouped consumption data. ,1,1
Based on data from ESAM. Estimated from grouped consumption data. ,1,1
Based on data from ESAM-II. Estimated from unit-record consumption data. ,1,1
Based on data from ESPS-I. Estimated from unit-record consumption data. ,1,1
Based on data from ESPS-II. Estimated from unit-record consumption data. ,1,1
Break in series with previous year for which data are available,1,1
Budgetary Central Government Expenditure,7,1
"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",10,1
c'est supérieur ou égal à 512 Mbit/s et inférieur à 2 Mbit/s,2,1
c'est égal à 10 Mbit/s,2,1
c'est égal à 2 Mbit/s,2,1
"City: Dakar; An open public space (OPS) is defined as an area that openly and freely accessible space for all (without any cost implication) for enjoyment of social services such as recreation. Identification of open public spaces is  based on data compiled from city land use plans and open sources including OpenStreetMap and GoogleEarth; Data used to estimate population with access to open public spaces is based on grid level population disaggregation directly from city/country data, or from the HRSL (facebook and CIESIN) and WorldPop;  City/urban area used in the analyis has been generated using a classification approach based on the Urban Extent or the Degree of Urbanization concepts to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.",1,1
"City: Dakar; Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Urban Extent or the Degree of Urbanization concepts to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  ",1,1
"City: Diourbel; An open public space (OPS) is defined as an area that openly and freely accessible space for all (without any cost implication) for enjoyment of social services such as recreation. Identification of open public spaces is  based on data compiled from city land use plans and open sources including OpenStreetMap and GoogleEarth; Data used to estimate population with access to open public spaces is based on grid level population disaggregation directly from city/country data, or from the HRSL (facebook and CIESIN) and WorldPop;  City/urban area used in the analyis has been generated using a classification approach based on the Urban Extent or the Degree of Urbanization concepts to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.",1,1
"City: Diourbel; Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Urban Extent or the Degree of Urbanization concepts to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  ",1,1
"City: Kaolack; An open public space (OPS) is defined as an area that openly and freely accessible space for all (without any cost implication) for enjoyment of social services such as recreation. Identification of open public spaces is  based on data compiled from city land use plans and open sources including OpenStreetMap and GoogleEarth; Data used to estimate population with access to open public spaces is based on grid level population disaggregation directly from city/country data, or from the HRSL (facebook and CIESIN) and WorldPop;  City/urban area used in the analyis has been generated using a classification approach based on the Urban Extent or the Degree of Urbanization concepts to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.",1,1
"City: Kaolack; Only public transport stops which are mapped are included in the analysis which may include both formal and informal stops. Many cities have an informal network which is not fully mapped and may thus record higher levels of access to public transport than reported here; Data on public transport stops is sourced from city maps, OSM, GTFS, UITP, Google, and point mapping in some cities; Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, HRSL (Facebook and CIESIN), WorldPop or GHS-Pop; City/urban area used in the analyis has been generated using a classification approach based on the Urban Extent or the Degree of Urbanization concepts to city definition. As a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundaries.  ",1,1
