Value,Disaggregation combinations using this value,Number of indicators
Constant USD,4,2
Hectares,5,2
Index,4,1
Kilograms per constant USD,40,3
Kilograms,5,2
Local currency,1,1
Metric Tons,88,6
Million of cubic metres per annum,3,1
Number,236,16
Passenger kilometres,3,1
Per 100 population,5,1
"Per 1,000 live births",7,2
"Per 10,000 population",4,1
"Per 100,000 population",22,5
Percent,180,22
Ratio,5,2
Square kilometers,16,2
Tonne kilometres,4,1
Tonnes per hectare,1,1
Twenty-foot equivalent units (TEUs),1,1
USD,20,5
