Value,Disaggregation combinations using this value,Number of indicators
0.41883,5,1
1146,5,1
12011,5,1
12068,5,1
12.4,6,1
1290.1,6,1
1.34004,5,1
1348.8,6,1
14.4,5,1
1547,5,1
15,5,1
18.6,22,2
2024,5,1
2035,5,1
2052,5,1
2078,6,1
21.2,1,1
21467,5,1
237.3,11,1
23.9064,11,1
2.42405,5,1
25.5,6,1
2.6,17,1
2647.2,6,1
27.2,5,1
28.4,5,1
2879,5,1
28.8,5,1
2958.3,6,1
29.6,6,1
29,5,1
3.4,5,1
36.6632,6,1
401,5,1
4059,5,1
40,5,1
45.4146,7,1
4.5,5,1
4741,5,1
485.3,21,1
4.8,5,1
4931,5,1
51.6,6,1
52.3,6,1
5.7,5,1
58.9,20,1
62.7,20,1
63.2,20,1
64.9,6,1
67.3,21,1
7327,5,1
8644.5,6,1
9.2,11,1
9456,5,1
9.5,5,1
