Value,Disaggregation combinations using this value,Number of indicators
0.48,1,1
0.55921,1,1
0.6,1,1
0.8301,1,1
0.83052,1,1
0.83054,1,1
0.83103,1,1
0.83235,1,1
0.83252,1,1
0.83267,1,1
0.83331,1,1
0.8335,1,1
0.83353,1,1
0.83414,1,1
0.83548,1,1
0.83651,1,1
0.8392,1,1
0.84114,1,1
0.84451,1,1
0.84652,1,1
0.85002,1,1
0.8529,1,1
0.85625,1,1
0.85897,1,1
0.86223,1,1
0.86494,1,1
0.86825,1,1
0.87087,1,1
0.87235,1,1
0.87314,1,1
0.87344,1,1
0.87392,1,1
0.87419,1,1
0.89631,1,1
1000,1,1
1.00061,1,1
1.01232,1,1
10149.7,1,1
10230.4,1,1
10318,1,1
10350,1,1
10.6,1,1
1.07295,1,1
107.552,1,1
1080,1,1
1090,1,1
11039.2,1,1
11.1,1,1
11277,1,1
11378.4,1,1
11.4,1,1
1143,1,1
11674.2,1,1
1190,1,1
11939.6,1,1
1200,1,1
12009,1,1
12.1,1,1
1.22,1,1
12540.2,1,1
12640.4,1,1
12708.6,1,1
12911,1,1
13.3,1,1
1350,1,1
13638.1,1,1
13754,1,1
1380,1,1
13.9,1,1
140.37,1,1
1.41973,1,1
1420,1,1
14306,1,1
1440,1,1
14563.8,1,1
14576.8,1,1
14.6,1,1
1490,1,1
15354,1,1
15470,1,1
15.6,2,2
15819,1,1
15999,1,1
16,1,1
16033,1,1
16.2,1,1
16.6,1,1
16808,1,1
1688.3,1,1
1730.3,1,1
1775.6,1,1
180.884,1,1
1820.5,1,1
1863.7,1,1
18.9,1,1
18938,1,1
1913.1,1,1
19245,1,1
19504,1,1
1961.4,1,1
19869,1,1
19949,1,1
1.9,1,1
2,1,1
2022.1,1,1
2092.3,1,1
2165.3,1,1
21863,1,1
2202,1,1
2232.6,1,1
2238,1,1
2254,1,1
225.423,1,1
2262.2,1,1
22.7,1,1
2.29219,1,1
2299.3,1,1
2.32185,1,1
2342.8,1,1
2347.3,1,1
2369,1,1
2376.5,1,1
2382.1,1,1
2394.3,1,1
2396.9,1,1
2.3,1,1
2400.3,1,1
24054,1,1
2407.6,1,1
24.4,1,1
24624,1,1
24.7,1,1
2475,1,1
24,1,1
25017.3,1,1
25.4,1,1
2.55519,1,1
2.56219,1,1
25628,1,1
25.9,1,1
