Year,SDG Series,Value
2010,Amount of tracked exported Environmentally Sound Technologies [17.7.1],154603500
2013,Amount of tracked exported Environmentally Sound Technologies [17.7.1],192780401
2015,Amount of tracked exported Environmentally Sound Technologies [17.7.1],205748193
2016,Amount of tracked exported Environmentally Sound Technologies [17.7.1],199739524
2017,Amount of tracked exported Environmentally Sound Technologies [17.7.1],166846666
2018,Amount of tracked exported Environmentally Sound Technologies [17.7.1],193822650
2019,Amount of tracked exported Environmentally Sound Technologies [17.7.1],215005169
2020,Amount of tracked exported Environmentally Sound Technologies [17.7.1],221323773
2010,Amount of tracked imported Environmentally Sound Technologies [17.7.1],553505022
2013,Amount of tracked imported Environmentally Sound Technologies [17.7.1],1072177186
2015,Amount of tracked imported Environmentally Sound Technologies [17.7.1],984738741
2016,Amount of tracked imported Environmentally Sound Technologies [17.7.1],952035099
2017,Amount of tracked imported Environmentally Sound Technologies [17.7.1],945083232
2018,Amount of tracked imported Environmentally Sound Technologies [17.7.1],940116984
2019,Amount of tracked imported Environmentally Sound Technologies [17.7.1],1024048853
2020,Amount of tracked imported Environmentally Sound Technologies [17.7.1],1044049938
2013,Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],5073022
2017,Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],23891519
2018,Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],32987812
