Year,UNIT_MULT,NATURE,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SDG Series,Sex,Age,Unit of measure,Unit multiplier,Nature of data points,Observation-level footnotes,Upper bound value,Lower bound value,Source details,Value
2015,0,CA,"The observation represents the 3-year average of the period 2014-2016. For years when official national data are not available, the values are projected using FAO data or estimates",41.4,36.6,National Entity,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",51.6,46.8,National Entity,39.0
2016,0,CA,"The observation represents the 3-year average of the period 2015-2017. For years when official national data are not available, the values are projected using FAO data or estimates",39.5,34.7,National Entity,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",51.6,46.8,National Entity,37.1
2017,0,CA,"The observation represents the 3-year average of the period 2016-2018. For years when official national data are not available, the values are projected using FAO data or estimates",38.2,33.4,National Entity,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",51.6,46.8,National Entity,35.8
2018,0,CA,"The observation represents the 3-year average of the period 2017-2019. For years when official national data are not available, the values are projected using FAO data or estimates",42.4,37.6,National Entity,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",51.6,46.8,National Entity,40.0
2019,0,CA,"The observation represents the 3-year average of the period 2018-2020. For years when official national data are not available, the values are projected using FAO data or estimates",46.4,41.6,National Entity,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",51.6,46.8,National Entity,44.0
2020,0,CA,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",51.6,46.8,National Entity,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,Country Adjusted,"The observation represents the 3-year average of the period 2019-2021. For years when official national data are not available, the values are projected using FAO data or estimates",51.6,46.8,National Entity,49.2
2015,0,G,The observation represents the 3-year average of the period 2014-2016.,42.7,31.1,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,52.3,40.7,Food and Agriculture Organization of the United Nations (FAO),36.9
2016,0,G,The observation represents the 3-year average of the period 2015-2017.,40.9,29.3,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,52.3,40.7,Food and Agriculture Organization of the United Nations (FAO),35.1
2017,0,G,The observation represents the 3-year average of the period 2016-2018.,39.6,28,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,52.3,40.7,Food and Agriculture Organization of the United Nations (FAO),33.8
2018,0,G,The observation represents the 3-year average of the period 2017-2019.,43.6,32,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,Global monitoring data,The observation represents the 3-year average of the period 2019-2021.,52.3,40.7,Food and Agriculture Organization of the United Nations (FAO),37.8
