Year,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SDG Series,Unit of measure,Unit multiplier,Observation-level footnotes,Upper bound value,Lower bound value,Value
2000,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",40.8,36.9,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",24,15.6,38.9
2001,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",40.6,36.8,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",24,15.6,38.7
2002,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",40.3,36.5,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",24,15.6,38.4
2003,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",39.9,36.1,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",24,15.6,38.0
2004,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",39.4,35.6,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",24,15.6,37.5
2005,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",38.8,34.9,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",24,15.6,36.8
2006,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",38,34,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",24,15.6,36.0
2007,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",36.9,32.9,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",24,15.6,34.9
2008,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",35.6,31.7,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",24,15.6,33.6
2009,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",34.1,30.4,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",24,15.6,32.2
