Year,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Observation-level footnotes,Source details,Value
2020,C,"Obs_Value = 0;  Out of 20 local breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 21.11.2022 http://www.fao.org/dad-is/,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],"Obs_Value = 0;  Out of 20 local breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 21.11.2022 http://www.fao.org/dad-is/,0
2021,E,"Obs_Value = 0;  Out of 20 local breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 21.11.2022 http://www.fao.org/dad-is/,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],"Obs_Value = 0;  Out of 20 local breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 21.11.2022 http://www.fao.org/dad-is/,0
2022,E,"Obs_Value = 0;  Out of 20 local breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 21.11.2022 http://www.fao.org/dad-is/,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],"Obs_Value = 0;  Out of 20 local breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 21.11.2022 http://www.fao.org/dad-is/,0
2020,C,"Obs_Value = 0;  Out of 36 transboundary breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,Number of transboundary breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],"Obs_Value = 0;  Out of 36 transboundary breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,0
2021,E,"Obs_Value = 0;  Out of 36 transboundary breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,Number of transboundary breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],"Obs_Value = 0;  Out of 36 transboundary breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,0
2022,E,"Obs_Value = 0;  Out of 36 transboundary breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,Number of transboundary breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],"Obs_Value = 0;  Out of 36 transboundary breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,0
1995,E,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2018 report.,FAO-WIEWS (http://www.fao.org/wiews),958
2000,E,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2018 report.,FAO-WIEWS (http://www.fao.org/wiews),958
2005,E,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2018 report.,FAO-WIEWS (http://www.fao.org/wiews),1299
2010,E,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2018 report.,FAO-WIEWS (http://www.fao.org/wiews),1330
2012,E,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2018 report.,FAO-WIEWS (http://www.fao.org/wiews),1330
2014,C,,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2018 report.,FAO-WIEWS (http://www.fao.org/wiews),1890
2016,C,,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2018 report.,FAO-WIEWS (http://www.fao.org/wiews),1890
2017,E,Estimate based on 2016 report.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2018 report.,FAO-WIEWS (http://www.fao.org/wiews),1890
2018,C,,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2018 report.,FAO-WIEWS (http://www.fao.org/wiews),1890
2019,E,Estimate based on 2018 report.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2018 report.,FAO-WIEWS (http://www.fao.org/wiews),1890
2020,E,Estimate based on 2018 report.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2018 report.,FAO-WIEWS (http://www.fao.org/wiews),1890
2021,E,Estimate based on 2018 report.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2018 report.,FAO-WIEWS (http://www.fao.org/wiews),1890
