Year,UPPER_BOUND,LOWER_BOUND,Sex,Upper bound value,Lower bound value,Value
2000,29.1,20.5,,27.2,20,24.8
2005,28.8,20.7,,27.2,20,24.8
2010,29.8,21.8,,27.2,20,25.8
2015,27.8,20.3,,27.2,20,24.1
2019,27.2,20,,27.2,20,23.5
2000,18.6,13.1,Female,15,11.1,15.8
2005,17.9,12.9,Female,15,11.1,15.4
2010,17.5,12.7,Female,15,11.1,15.1
2015,15.9,11.6,Female,15,11.1,13.7
2019,15,11.1,Female,15,11.1,13.0
2000,40.1,28.2,Male,40,29.5,34.1
2005,40.2,29,Male,40,29.5,34.6
2010,42.9,31.3,Male,40,29.5,37.1
2015,40.4,29.6,Male,40,29.5,35.0
2019,40,29.5,Male,40,29.5,34.6
