Year,SDG Series,Value
2000,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],52
2001,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],52
2002,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],60
2003,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],73
2004,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],87
2005,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],84
2006,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],89
2007,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],94
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],88
2009,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],86
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],89
2011,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],92
2012,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],91
2013,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],92
2014,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],89
2015,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],89
2016,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],93
2017,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],93
2018,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],92
2019,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],95
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],91
2019,"Proportion of the target population with access to affordable medicines and vaccines on a sustainable basis, human papillomavirus (HPV) [3.b.1]",25
2020,"Proportion of the target population with access to affordable medicines and vaccines on a sustainable basis, human papillomavirus (HPV) [3.b.1]",31
2014,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],13
2015,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],54
2016,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],57
2017,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],59
2018,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],62
2019,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],68
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],69
2014,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],81
2015,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],89
2016,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],93
2017,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],92
2018,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],92
2019,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],96
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],92
