Year,NATURE,SOURCE_DETAIL,SDG Series,Composite breakdown,Unit of measure,Nature of data points,Source details,Value
2017,C,ICAO,Freight volume (tonne kilometres) [9.1.2],Mode of Transport: Air,Tonne kilometres,Country Data,ICAO,41651
2018,C,ICAO,Freight volume (tonne kilometres) [9.1.2],Mode of Transport: Air,Tonne kilometres,Country Data,ICAO,12
2019,C,ICAO,Freight volume (tonne kilometres) [9.1.2],Mode of Transport: Air,Tonne kilometres,Country Data,ICAO,2091018
2020,C,ICAO,Freight volume (tonne kilometres) [9.1.2],Mode of Transport: Air,Tonne kilometres,Country Data,ICAO,2573077
2018,M,the International Transport Forum at the OECD (ITF-OECD),Freight volume (tonne kilometres) [9.1.2],Mode of transport: Inland waterway transport,Tonne kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),67884067
2019,M,the International Transport Forum at the OECD (ITF-OECD),Freight volume (tonne kilometres) [9.1.2],Mode of transport: Inland waterway transport,Tonne kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),27600000
2020,M,the International Transport Forum at the OECD (ITF-OECD),Freight volume (tonne kilometres) [9.1.2],Mode of transport: Inland waterway transport,Tonne kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),23000000
2018,M,the International Transport Forum at the OECD (ITF-OECD),Freight volume (tonne kilometres) [9.1.2],Mode of Transport: Rail,Tonne kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),279170808
2019,M,the International Transport Forum at the OECD (ITF-OECD),Freight volume (tonne kilometres) [9.1.2],Mode of Transport: Rail,Tonne kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),942400000
2020,M,the International Transport Forum at the OECD (ITF-OECD),Freight volume (tonne kilometres) [9.1.2],Mode of Transport: Rail,Tonne kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),920000000
2018,M,the International Transport Forum at the OECD (ITF-OECD),Freight volume (tonne kilometres) [9.1.2],Mode of Transport: Road,Tonne kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),2826258288
2019,M,the International Transport Forum at the OECD (ITF-OECD),Freight volume (tonne kilometres) [9.1.2],Mode of Transport: Road,Tonne kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),2549200000
2020,M,the International Transport Forum at the OECD (ITF-OECD),Freight volume (tonne kilometres) [9.1.2],Mode of Transport: Road,Tonne kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),2505000000
2017,C,ICAO,Passenger volume (passenger kilometres) [9.1.2],Mode of Transport: Air,Passenger kilometres,Country Data,ICAO,14640813
2018,C,ICAO,Passenger volume (passenger kilometres) [9.1.2],Mode of Transport: Air,Passenger kilometres,Country Data,ICAO,76963213
2019,C,ICAO,Passenger volume (passenger kilometres) [9.1.2],Mode of Transport: Air,Passenger kilometres,Country Data,ICAO,489587107
2020,C,ICAO,Passenger volume (passenger kilometres) [9.1.2],Mode of Transport: Air,Passenger kilometres,Country Data,ICAO,355460434
2018,M,the International Transport Forum at the OECD (ITF-OECD),Passenger volume (passenger kilometres) [9.1.2],Mode of Transport: Rail,Passenger kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),2800321
2019,M,the International Transport Forum at the OECD (ITF-OECD),Passenger volume (passenger kilometres) [9.1.2],Mode of Transport: Rail,Passenger kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),1123300000
2020,M,the International Transport Forum at the OECD (ITF-OECD),Passenger volume (passenger kilometres) [9.1.2],Mode of Transport: Rail,Passenger kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),142000000
2018,M,the International Transport Forum at the OECD (ITF-OECD),Passenger volume (passenger kilometres) [9.1.2],Mode of Transport: Road,Passenger kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),18667930171
2019,M,the International Transport Forum at the OECD (ITF-OECD),Passenger volume (passenger kilometres) [9.1.2],Mode of Transport: Road,Passenger kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),22235481818
2020,M,the International Transport Forum at the OECD (ITF-OECD),Passenger volume (passenger kilometres) [9.1.2],Mode of Transport: Road,Passenger kilometres,Modeled,the International Transport Forum at the OECD (ITF-OECD),18505000000
2010,M,"Source: UNCTAD Review of Maritime Transport, 2021 and UNCTADstat (http://stats.unctad.org/teu).",Container port traffic (twenty-foot equivalent units - TEUs) [9.1.2],Mode of Transport: Maritime,Twenty-foot equivalent units (TEUs),Modeled,"Source: UNCTAD Review of Maritime Transport, 2021 and UNCTADstat (http://stats.unctad.org/teu).",387168
2011,M,"Source: UNCTAD Review of Maritime Transport, 2021 and UNCTADstat (http://stats.unctad.org/teu).",Container port traffic (twenty-foot equivalent units - TEUs) [9.1.2],Mode of Transport: Maritime,Twenty-foot equivalent units (TEUs),Modeled,"Source: UNCTAD Review of Maritime Transport, 2021 and UNCTADstat (http://stats.unctad.org/teu).",412843
2012,M,"Source: UNCTAD Review of Maritime Transport, 2021 and UNCTADstat (http://stats.unctad.org/teu).",Container port traffic (twenty-foot equivalent units - TEUs) [9.1.2],Mode of Transport: Maritime,Twenty-foot equivalent units (TEUs),Modeled,"Source: UNCTAD Review of Maritime Transport, 2021 and UNCTADstat (http://stats.unctad.org/teu).",322794
2013,M,"Source: UNCTAD Review of Maritime Transport, 2021 and UNCTADstat (http://stats.unctad.org/teu).",Container port traffic (twenty-foot equivalent units - TEUs) [9.1.2],Mode of Transport: Maritime,Twenty-foot equivalent units (TEUs),Modeled,"Source: UNCTAD Review of Maritime Transport, 2021 and UNCTADstat (http://stats.unctad.org/teu).",397052
2014,M,"Source: UNCTAD Review of Maritime Transport, 2021 and UNCTADstat (http://stats.unctad.org/teu).",Container port traffic (twenty-foot equivalent units - TEUs) [9.1.2],Mode of Transport: Maritime,Twenty-foot equivalent units (TEUs),Modeled,"Source: UNCTAD Review of Maritime Transport, 2021 and UNCTADstat (http://stats.unctad.org/teu).",427072
2015,M,"Source: UNCTAD Review of Maritime Transport, 2021 and UNCTADstat (http://stats.unctad.org/teu).",Container port traffic (twenty-foot equivalent units - TEUs) [9.1.2],Mode of Transport: Maritime,Twenty-foot equivalent units (TEUs),Modeled,"Source: UNCTAD Review of Maritime Transport, 2021 and UNCTADstat (http://stats.unctad.org/teu).",597490
