Year,UNIT_MULT,SOURCE_DETAIL,SDG Series,Economic activity,Unit of measure,Unit multiplier,Source details,BASE_PER,Base period,Value
2000,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,3.52
2001,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,3.84
2002,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,3.92
2003,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,3.81
2004,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,4.44
2005,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,4.63
2006,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,4.44
2007,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,4.98
2008,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,5.25
2009,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,5.39
2010,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,5.46
2011,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,5.78
2012,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,5.66
2013,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,5.99
2014,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,6.67
2015,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,7.5
2016,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,8.14
2017,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,7.79
2018,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,8.08
2019,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,8.52
2000,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,0.503
2001,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,0.655
2002,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,0.717
2003,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,0.591
2004,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,0.918
2005,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,0.784
2006,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,0.594
2007,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,0.849
2008,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,0.874
2009,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,0.935
2010,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,0.908
2011,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.23
2012,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.103
2013,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.099
