Year,COMMENT_OBS,Value
2000,"Commitments;Based on OECD, CRS database, 2022;Constant 2020 USD million;As percentage of GNI",0.75741
2001,"Commitments;Based on OECD, CRS database, 2022;Constant 2020 USD million;As percentage of GNI",0.63731
2002,"Gross disbursements;Based on OECD, CRS database, 2022;Constant 2020 USD million;As percentage of GNI",0.53079
2003,"Gross disbursements;Based on OECD, CRS database, 2022;Constant 2020 USD million;As percentage of GNI",0.95258
2004,"Gross disbursements;Based on OECD, CRS database, 2022;Constant 2020 USD million;As percentage of GNI",0.6558
2005,"Gross disbursements;Based on OECD, CRS database, 2022;Constant 2020 USD million;As percentage of GNI",0.67358
2006,"Gross disbursements;Based on OECD, CRS database, 2022;Constant 2020 USD million;As percentage of GNI",0.71959
2007,"Gross disbursements;Based on OECD, CRS database, 2022;Constant 2020 USD million;As percentage of GNI",0.51957
2008,"Gross disbursements;Based on OECD, CRS database, 2022;Constant 2020 USD million;As percentage of GNI",0.56885
2009,"Gross disbursements;Based on OECD, CRS database, 2022;Constant 2020 USD million;As percentage of GNI",0.59737
2010,"Gross disbursements;Based on OECD, CRS database, 2022;Constant 2020 USD million;As percentage of GNI",0.67854
2011,"Gross disbursements;Based on OECD, CRS database, 2022;Constant 2020 USD million;As percentage of GNI",0.73642
2012,"Gross disbursements;Based on OECD, CRS database, 2022;Constant 2020 USD million;As percentage of GNI",0.60494
2013,"Gross disbursements;Based on OECD, CRS database, 2022;Constant 2020 USD million;As percentage of GNI",0.53115
2014,"Gross disbursements;Based on OECD, CRS database, 2022;Constant 2020 USD million;As percentage of GNI",0.51691
2015,"Gross disbursements;Based on OECD, CRS database, 2022;Constant 2020 USD million;As percentage of GNI",0.49545
2016,"Gross disbursements;Based on OECD, CRS database, 2022;Constant 2020 USD million;As percentage of GNI",0.35427
2017,"Gross disbursements;Based on OECD, CRS database, 2022;Constant 2020 USD million;As percentage of GNI",0.43555
2018,"Gross disbursements;Based on OECD, CRS database, 2022;Constant 2020 USD million;As percentage of GNI",0.29695
2019,"Gross disbursements;Based on OECD, CRS database, 2022;Constant 2020 USD million;As percentage of GNI",0.33101
2020,"Gross disbursements;Based on OECD, CRS database, 2022;Constant 2020 USD million;As percentage of GNI",0.26752
