Year,UNIT_MULT,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Unit of measure,Unit multiplier,Nature of data points,Observation-level footnotes,Source details,Value
2000,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",6.95996
2010,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",6.35404
2015,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",6.189
2016,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",6.24094
2017,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",6.29288
2018,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",6.34482
2019,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",6.34482
2020,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",6.34482
2000,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",3961.19
2010,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",3616.34
2015,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",3522.41
2016,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",3551.97
2017,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",3581.53
2018,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",3611.09
2019,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",3611.09
2020,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",3611.09
2000,3,C,,Data from FAOSTAT extracted 20220110,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,56914.0
2010,3,E,,Data from FAOSTAT extracted 20220110,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,56914.0
2015,3,E,,Data from FAOSTAT extracted 20220110,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,56914.0
2016,3,E,,Data from FAOSTAT extracted 20220110,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,56914.0
2017,3,E,,Data from FAOSTAT extracted 20220110,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,56914.0
2018,3,E,,Data from FAOSTAT extracted 20220110,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,56914.0
2019,3,E,,Data from FAOSTAT extracted 20220110,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,56914.0
2020,3,E,,FAO estimate based on FAOSTAT data from 2019,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,56914.0
