Year,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Sex,Age,Occupation,Composite breakdown,Unit of measure,Observation-level footnotes,Source details,Value
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court. The Personnel at Lower-Level Courts include Magistrates and Kadhis. Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2 19 KPH Census,Proportions of positions in the judiciary compared to national distributions [16.7.1],,under 45 years old,Judges,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court. The Personnel at Lower-Level Courts include Magistrates and Kadhis. Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2 19 KPH Census,0.66
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court. The Personnel at Lower-Level Courts include Magistrates and Kadhis. Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2 19 KPH Census,Proportions of positions in the judiciary compared to national distributions [16.7.1],,under 45 years old,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court. The Personnel at Lower-Level Courts include Magistrates and Kadhis. Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2 19 KPH Census,0.28
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court. The Personnel at Lower-Level Courts include Magistrates and Kadhis. Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2 19 KPH Census,Proportions of positions in the judiciary compared to national distributions [16.7.1],Female,,Judges,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court. The Personnel at Lower-Level Courts include Magistrates and Kadhis. Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2 19 KPH Census,0.94
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court. The Personnel at Lower-Level Courts include Magistrates and Kadhis. Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2 19 KPH Census,Proportions of positions in the judiciary compared to national distributions [16.7.1],Female,,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court. The Personnel at Lower-Level Courts include Magistrates and Kadhis. Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2 19 KPH Census,1.11
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court. The Personnel at Lower-Level Courts include Magistrates and Kadhis. Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2 19 KPH Census,"Proportions of positions in the judiciary compared to national distributions, Constitutional Court [16.7.1]",Female,,Judges,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court. The Personnel at Lower-Level Courts include Magistrates and Kadhis. Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2 19 KPH Census,0.67
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court. The Personnel at Lower-Level Courts include Magistrates and Kadhis. Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2 19 KPH Census,"Proportions of positions in the judiciary compared to national distributions, Constitutional Court [16.7.1]",Female,,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court. The Personnel at Lower-Level Courts include Magistrates and Kadhis. Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2 19 KPH Census,2.0
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court. The Personnel at Lower-Level Courts include Magistrates and Kadhis. Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2 19 KPH Census,"Proportions of positions in the judiciary compared to national distributions, Higher Courts [16.7.1]",Female,,Judges,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court. The Personnel at Lower-Level Courts include Magistrates and Kadhis. Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2 19 KPH Census,0.89
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court. The Personnel at Lower-Level Courts include Magistrates and Kadhis. Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2 19 KPH Census,"Proportions of positions in the judiciary compared to national distributions, Higher Courts [16.7.1]",Female,,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court. The Personnel at Lower-Level Courts include Magistrates and Kadhis. Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2 19 KPH Census,1.0
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court. The Personnel at Lower-Level Courts include Magistrates and Kadhis. Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2 19 KPH Census,"Proportions of positions in the judiciary compared to national distributions, Lower Courts [16.7.1]",Female,,Judges,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court. The Personnel at Lower-Level Courts include Magistrates and Kadhis. Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2 19 KPH Census,0.96
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court. The Personnel at Lower-Level Courts include Magistrates and Kadhis. Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2 19 KPH Census,"Proportions of positions in the judiciary compared to national distributions, Lower Courts [16.7.1]",Female,,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court. The Personnel at Lower-Level Courts include Magistrates and Kadhis. Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2 19 KPH Census,1.0
