Year,Value
1975,5.69959
1976,5.85973
1977,6.731
1978,8.74003
1979,10.86001
1980,12.0583
1981,16.31871
1982,21.46391
1983,24.04206
1984,24.31546
1985,28.76927
1986,27.059
1987,32.82423
1988,30.75062
1989,30.54049
1990,28.58134
1991,26.28001
1992,23.50007
1993,12.82716
1994,16.97759
1995,20.72663
1996,18.86715
1997,12.93811
1998,12.39553
1999,13.04278
2000,17.30217
2001,12.43229
2002,13.66155
2003,14.47814
2004,7.38753
2005,9.46288
2006,6.7563
2007,5.92231
2008,4.63598
2009,4.82998
2010,4.13008
2011,4.00884
2012,4.355
2013,4.39152
2014,10.97826
2015,6.9778
2016,8.36638
2017,12.21644
2018,20.88838
2019,35.35853
2020,25.49134
