Year,COMMENT_OBS,Value
2000,"Commitments; Based on OECD, CRS databased, 2022; Constant 2020 USD million",201.15569
2001,"Commitments; Based on OECD, CRS databased, 2022; Constant 2020 USD million",111.92239
2002,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",46.3229
2003,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",89.40864
2004,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",107.32268
2005,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",105.18223
2006,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",147.19283
2007,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",175.93335
2008,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",161.97723
2009,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",147.10774
2010,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",232.96999
2011,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",247.56915
2012,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",275.65121
2013,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",337.85709
2014,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",325.72325
2015,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",427.17218
2016,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",476.49019
2017,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",371.163
2018,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",400.00917
2019,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",515.00572
2020,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",604.7674
