Year,COMMENT_OBS,Value
2000,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",103.24036
2001,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",77.541
2002,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",74.56597
2003,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",82.69592
2004,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",72.35208
2005,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",62.64147
2006,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",89.83587
2007,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",70.79906
2008,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",70.43439
2009,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",76.78536
2010,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",101.52719
2011,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",119.20637
2012,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",94.04875
2013,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",137.99345
2014,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",170.00775
2015,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",207.17364
2016,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",160.15631
2017,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",183.46434
2018,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",137.3719
2019,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",133.45594
2020,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",143.67488
