Year,NATURE,SOURCE_DETAIL,Age,Source details,Value
2000,CA,Registration UNSD & WPP2019,10 to 14 years old,Registration UNSD & WPP2019,0.5
2001,CA,Kenya 2008-2009 Demographic and Health Survey,10 to 14 years old,Registration UNSD & WPP2019,8.1
2002,CA,Kenya 2003 Demographic and Health Survey,10 to 14 years old,Registration UNSD & WPP2019,2.7
2004,CA,Kenya 2008-2009 Demographic and Health Survey,10 to 14 years old,Registration UNSD & WPP2019,3.5
2006,CA,Kenya 2008-2009 Demographic and Health Survey,10 to 14 years old,Registration UNSD & WPP2019,2.8
2007,CA,Kenya 2008-2009 Demographic and Health Survey,10 to 14 years old,Registration UNSD & WPP2019,2.4
2008,CA,Registration UNSD & WPP2019,10 to 14 years old,Registration UNSD & WPP2019,1.3
2009,CA,Registration UNSD & WPP2019,10 to 14 years old,Registration UNSD & WPP2019,1.6
2011,CA,Registration UNSD & WPP2019,10 to 14 years old,Registration UNSD & WPP2019,1.4
2012,CA,Kenya 2014 Demographic and Health Survey,10 to 14 years old,Registration UNSD & WPP2019,2.1
2013,CA,Kenya 2014 Demographic and Health Survey,10 to 14 years old,Registration UNSD & WPP2019,2.0
2014,CA,Kenya 2015 Malaria Indicators Survey,10 to 14 years old,Registration UNSD & WPP2019,2.0
2016,CA,Registration UNSD & WPP2019,10 to 14 years old,Registration UNSD & WPP2019,1.1
2017,CA,Registration UNSD & WPP2019,10 to 14 years old,Registration UNSD & WPP2019,1.1
2018,CA,Kenya 2020 Malaria Indicators Survey,10 to 14 years old,Registration UNSD & WPP2019,0.7
2019,CA,Kenya 2020 Malaria Indicators Survey,10 to 14 years old,Registration UNSD & WPP2019,0.6
2020,CA,Registration UNSD & WPP2019,10 to 14 years old,Registration UNSD & WPP2019,0.7
2002,C,Kenya 2003 Demographic and Health Survey,15 to 19 years old,Kenya 2020 Malaria Indicators Survey,114.0
2004,CA,Kenya 2008-2009 Demographic and Health Survey,15 to 19 years old,Kenya 2020 Malaria Indicators Survey,120.5
2006,C,Kenya 2008-2009 Demographic and Health Survey,15 to 19 years old,Kenya 2020 Malaria Indicators Survey,106.0
2007,C,Kenya 2008-2009 Demographic and Health Survey,15 to 19 years old,Kenya 2020 Malaria Indicators Survey,103.0
2013,C,Kenya 2014 Demographic and Health Survey,15 to 19 years old,Kenya 2020 Malaria Indicators Survey,96.0
2014,C,Kenya 2015 Malaria Indicators Survey,15 to 19 years old,Kenya 2020 Malaria Indicators Survey,96.0
2015,CA,Kenya 2016 PMA2020 Round 5,15 to 19 years old,Kenya 2020 Malaria Indicators Survey,86.5
2018,CA,Kenya 2020 Malaria Indicators Survey,15 to 19 years old,Kenya 2020 Malaria Indicators Survey,75.2
2019,CA,Kenya 2020 Malaria Indicators Survey,15 to 19 years old,Kenya 2020 Malaria Indicators Survey,81.1
