Year,NATURE,SOURCE_DETAIL,Sex,Education level,Value
2011,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Secondary education (lower and upper secondary education),39.42585
2012,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Secondary education (lower and upper secondary education),45.19019
2013,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Secondary education (lower and upper secondary education),55.48466
2014,E,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Secondary education (lower and upper secondary education),61.49653
2015,E,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Secondary education (lower and upper secondary education),72.45545
2020,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Secondary education (lower and upper secondary education),72.42733
2006,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Pre-primary education,18.24651
2008,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Pre-primary education,12.81549
2009,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Pre-primary education,14.00763
2010,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Pre-primary education,15.09403
2012,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Pre-primary education,23.42179
2013,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Pre-primary education,25.71481
2014,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Pre-primary education,25.74617
2015,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Pre-primary education,26.09581
2018,C,RAPPORT naTIOnaL SUR LA SITUATION DE L'EDUCATION 2018 (https://education.sn/sites/default/files/2019-08/RNSE%20_2018%20%20-DPRE_DSP_BSS-%20vf%20juillet%202019.pdf); Data extracted on 01 April 2022.,,Pre-primary education,37.811
2019,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Pre-primary education,37.79777
2020,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Pre-primary education,37.35822
2003,E,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Primary education,55.37906
2004,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Primary education,50.84206
2005,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Primary education,45.69771
2006,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Primary education,49.69535
2007,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Primary education,46.03869
2008,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Primary education,46.18381
2009,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Primary education,42.56055
2010,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Primary education,47.85285
2011,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Primary education,63.10219
2012,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Primary education,64.72177
2013,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Primary education,72.37909
2014,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Primary education,69.96822
2015,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Primary education,68.33982
2019,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Primary education,75.33952
2020,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Primary education,75.0538
2020,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Lower secondary education,81.33643
2020,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,,Upper secondary education,66.99987
2011,C,UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,Female,Secondary education (lower and upper secondary education),48.68488
