Year,SDG Series,Value
2017,Degree of integrated water resources management implementation (%) [6.5.1],53
2020,Degree of integrated water resources management implementation (%) [6.5.1],50
2017,"Degree of integrated water resources management implementation, enabling environment (%) [6.5.1]",60
2020,"Degree of integrated water resources management implementation, enabling environment (%) [6.5.1]",57
2017,"Degree of integrated water resources management implementation, financing (%) [6.5.1]",38
2020,"Degree of integrated water resources management implementation, financing (%) [6.5.1]",37
2017,"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]",66
2020,"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]",50
2017,"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",49
2020,"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",56
