Year,UNIT_MULT,SOURCE_DETAIL,SDG Series,Economic activity,Unit of measure,Unit multiplier,Source details,BASE_PER,Base period,Value
2000,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,7.77
2001,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,7.08
2002,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,6.83
2003,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,5.87
2004,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,6.72
2005,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,7.48
2006,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,8.45
2007,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,8.38
2008,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,8.82
2009,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,10.43
2010,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,11.21
2011,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,11.32
2012,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,10.36
2013,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,12.14
2014,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,12.87
2015,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,14.75
2016,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,16.51
2017,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,16.6
2018,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,15.31
2019,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,20.1
2000,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.432
2001,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.613
