Year,SDG Series,Degree of urbanisation,Value
2000,Proportion of population using basic drinking water services [1.4.1],,47
2001,Proportion of population using basic drinking water services [1.4.1],,48
2002,Proportion of population using basic drinking water services [1.4.1],,49
2003,Proportion of population using basic drinking water services [1.4.1],,50
2004,Proportion of population using basic drinking water services [1.4.1],,50
2005,Proportion of population using basic drinking water services [1.4.1],,51
2006,Proportion of population using basic drinking water services [1.4.1],,52
2007,Proportion of population using basic drinking water services [1.4.1],,52
2008,Proportion of population using basic drinking water services [1.4.1],,53
2009,Proportion of population using basic drinking water services [1.4.1],,54
2010,Proportion of population using basic drinking water services [1.4.1],,55
2011,Proportion of population using basic drinking water services [1.4.1],,55
2012,Proportion of population using basic drinking water services [1.4.1],,56
2013,Proportion of population using basic drinking water services [1.4.1],,57
2014,Proportion of population using basic drinking water services [1.4.1],,57
2015,Proportion of population using basic drinking water services [1.4.1],,58
2016,Proportion of population using basic drinking water services [1.4.1],,59
2017,Proportion of population using basic drinking water services [1.4.1],,60
2018,Proportion of population using basic drinking water services [1.4.1],,60
2019,Proportion of population using basic drinking water services [1.4.1],,61
2020,Proportion of population using basic drinking water services [1.4.1],,62
2000,Proportion of population using basic drinking water services [1.4.1],Rural,37
2001,Proportion of population using basic drinking water services [1.4.1],Rural,38
2002,Proportion of population using basic drinking water services [1.4.1],Rural,39
2003,Proportion of population using basic drinking water services [1.4.1],Rural,40
2004,Proportion of population using basic drinking water services [1.4.1],Rural,40
2005,Proportion of population using basic drinking water services [1.4.1],Rural,41
2006,Proportion of population using basic drinking water services [1.4.1],Rural,42
2007,Proportion of population using basic drinking water services [1.4.1],Rural,43
2008,Proportion of population using basic drinking water services [1.4.1],Rural,43
2009,Proportion of population using basic drinking water services [1.4.1],Rural,44
2010,Proportion of population using basic drinking water services [1.4.1],Rural,45
2011,Proportion of population using basic drinking water services [1.4.1],Rural,45
2012,Proportion of population using basic drinking water services [1.4.1],Rural,46
2013,Proportion of population using basic drinking water services [1.4.1],Rural,47
2014,Proportion of population using basic drinking water services [1.4.1],Rural,48
2015,Proportion of population using basic drinking water services [1.4.1],Rural,48
2016,Proportion of population using basic drinking water services [1.4.1],Rural,49
2017,Proportion of population using basic drinking water services [1.4.1],Rural,50
2018,Proportion of population using basic drinking water services [1.4.1],Rural,50
2019,Proportion of population using basic drinking water services [1.4.1],Rural,51
2020,Proportion of population using basic drinking water services [1.4.1],Rural,52
2000,Proportion of population using basic drinking water services [1.4.1],Urban,87
2001,Proportion of population using basic drinking water services [1.4.1],Urban,87
2002,Proportion of population using basic drinking water services [1.4.1],Urban,87
2003,Proportion of population using basic drinking water services [1.4.1],Urban,87
2004,Proportion of population using basic drinking water services [1.4.1],Urban,87
