Year,NATURE,SOURCE_DETAIL,COMMENT_OBS,Value
2000,C,Société Nationale des Télécommunications du Sénégal (SONATEL).,,0.40397
2001,C,Société Nationale des Télécommunications du Sénégal (SONATEL).,,0.98379
2002,C,Société Nationale des Télécommunications du Sénégal (SONATEL).,,1.00645
2003,C,Société Nationale des Télécommunications du Sénégal (SONATEL).,,2.10144
2004,C,Agence de Régulation des Télécommunications.,,4.38602
2005,C,Agence de Régulation des Télécommunications.,,4.78668
2006,C,Agence de Régulation des Télécommunications.,,5.61174
2007,E,ITU estimate.,,6.89
2008,E,ITU estimate.,,7.12
2009,E,ITU estimate.,Refers to total population. Survey result: 14.5% for population age 12+.,7.5
2010,E,ITU estimate.,Refers to total population. Survey result: 16% for population age 12+.,8.0
2011,E,ITU estimate.,Refers to total population. Country estimates 17.5% for population age 12+.,9.8
2012,E,ITU estimate.,Refers to total population.,10.8
2013,E,ITU estimate.,Refers to total population.,13.1
2014,E,ITU estimate.,Refers to total population.,17.7
2015,E,ITU estimate.,,21.7
2016,E,ITU Estimate.,,25.66477
2017,E,ITU estimate.,,29.64312
2018,E,ITU estimate.,Estimated based on DHS 2018,35.3
2019,E,ITU estimate.,Estimated based on DHS 2019,39.5
2020,E,ITU estimate.,,42.6
