Year,COMMENT_OBS,Value
2000,"Commitments; Based on OECD, CRS databased, 2022; Constant 2020 USD million",217.8303
2001,"Commitments; Based on OECD, CRS databased, 2022; Constant 2020 USD million",156.0208
2002,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",184.0396
2003,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",144.55827
2004,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",121.65165
2005,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",150.07641
2006,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",113.69773
2007,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",165.04302
2008,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",224.10764
2009,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",143.52274
2010,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",153.13914
2011,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",163.95688
2012,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",125.32054
2013,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",157.08145
2014,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",146.3363
2015,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",185.22786
2016,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",113.76537
2017,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",208.94642
2018,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",160.89884
2019,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",443.09878
2020,"Gross disbursements; Based on OECD, CRS databased, 2022;Constant 2020 USD million",286.17288
