Year,NATURE,COMMENT_OBS,Value
2000,E,"Obs_Value = 0;  Out of 4 local breeds, 25% are of unknown status",0
2001,E,"Obs_Value = 0;  Out of 4 local breeds, 25% are of unknown status",0
2002,E,"Obs_Value = 0;  Out of 4 local breeds, 25% are of unknown status",0
2003,C,"Obs_Value = 0;  Out of 4 local breeds, 25% are of unknown status",0
2004,C,"Obs_Value = 0;  Out of 5 local breeds, 0% are of unknown status",0
2005,E,"Obs_Value = 0;  Out of 5 local breeds, 0% are of unknown status",0
2006,C,"Obs_Value = 0;  Out of 14 local breeds, 50% are of unknown status",0
2007,E,"Obs_Value = 0;  Out of 14 local breeds, 50% are of unknown status",0
2008,C,"Obs_Value = 0;  Out of 15 local breeds, 47% are of unknown status",0
2009,E,"Obs_Value = 0;  Out of 15 local breeds, 47% are of unknown status",0
2010,E,"Obs_Value = 0;  Out of 15 local breeds, 47% are of unknown status",0
2011,E,"Obs_Value = 0;  Out of 15 local breeds, 47% are of unknown status",0
2012,C,"Obs_Value = 0;  Out of 16 local breeds, 44% are of unknown status",0
2013,E,"Obs_Value = 0;  Out of 16 local breeds, 44% are of unknown status",0
2014,E,"Obs_Value = 0;  Out of 16 local breeds, 44% are of unknown status",0
2015,E,"Obs_Value = 0;  Out of 16 local breeds, 44% are of unknown status",0
2016,E,"Obs_Value = 0;  Out of 16 local breeds, 50% are of unknown status",0
2017,E,"Obs_Value = 0;  Out of 16 local breeds, 50% are of unknown status",0
2018,E,"Obs_Value = 0;  Out of 16 local breeds, 56% are of unknown status",0
2019,C,"Out of 19 local breeds, 42% are of unknown status",27
2020,E,"Out of 19 local breeds, 42% are of unknown status",27
2021,E,"Out of 19 local breeds, 42% are of unknown status",27
2022,E,"Out of 19 local breeds, 47% are of unknown status",30
