Year,SDG Series,Unit of measure,Value
2000,Neonatal mortality rate [3.2.2],"Per 1,000 live births",38.2
2001,Neonatal mortality rate [3.2.2],"Per 1,000 live births",37.2
2002,Neonatal mortality rate [3.2.2],"Per 1,000 live births",36.0
2003,Neonatal mortality rate [3.2.2],"Per 1,000 live births",34.7
2004,Neonatal mortality rate [3.2.2],"Per 1,000 live births",33.4
2005,Neonatal mortality rate [3.2.2],"Per 1,000 live births",32.1
2006,Neonatal mortality rate [3.2.2],"Per 1,000 live births",30.8
2007,Neonatal mortality rate [3.2.2],"Per 1,000 live births",29.6
2008,Neonatal mortality rate [3.2.2],"Per 1,000 live births",28.6
2009,Neonatal mortality rate [3.2.2],"Per 1,000 live births",27.6
2010,Neonatal mortality rate [3.2.2],"Per 1,000 live births",26.8
2011,Neonatal mortality rate [3.2.2],"Per 1,000 live births",26.0
2012,Neonatal mortality rate [3.2.2],"Per 1,000 live births",25.3
2013,Neonatal mortality rate [3.2.2],"Per 1,000 live births",24.7
2014,Neonatal mortality rate [3.2.2],"Per 1,000 live births",24.2
2015,Neonatal mortality rate [3.2.2],"Per 1,000 live births",23.7
2016,Neonatal mortality rate [3.2.2],"Per 1,000 live births",23.1
2017,Neonatal mortality rate [3.2.2],"Per 1,000 live births",22.4
2018,Neonatal mortality rate [3.2.2],"Per 1,000 live births",21.8
2019,Neonatal mortality rate [3.2.2],"Per 1,000 live births",21.1
2020,Neonatal mortality rate [3.2.2],"Per 1,000 live births",20.6
2000,Neonatal deaths (number) [3.2.2],Number,14723.0
2001,Neonatal deaths (number) [3.2.2],Number,14584.0
2002,Neonatal deaths (number) [3.2.2],Number,14409.0
2003,Neonatal deaths (number) [3.2.2],Number,14212.0
2004,Neonatal deaths (number) [3.2.2],Number,13989.0
2005,Neonatal deaths (number) [3.2.2],Number,13764.0
2006,Neonatal deaths (number) [3.2.2],Number,13571.0
2007,Neonatal deaths (number) [3.2.2],Number,13387.0
2008,Neonatal deaths (number) [3.2.2],Number,13246.0
2009,Neonatal deaths (number) [3.2.2],Number,13125.0
2010,Neonatal deaths (number) [3.2.2],Number,13030.0
2011,Neonatal deaths (number) [3.2.2],Number,12929.0
2012,Neonatal deaths (number) [3.2.2],Number,12842.0
2013,Neonatal deaths (number) [3.2.2],Number,12745.0
2014,Neonatal deaths (number) [3.2.2],Number,12656.0
2015,Neonatal deaths (number) [3.2.2],Number,12541.0
2016,Neonatal deaths (number) [3.2.2],Number,12355.0
2017,Neonatal deaths (number) [3.2.2],Number,12146.0
2018,Neonatal deaths (number) [3.2.2],Number,11920.0
2019,Neonatal deaths (number) [3.2.2],Number,11703.0
2020,Neonatal deaths (number) [3.2.2],Number,11510.0
