Year,SDG Series,Sex,Occupation,Unit of measure,Value
2002,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",1.34
2008,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",1.66
2009,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",1.69
2010,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",1.7
2011,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",1.75
2012,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",1.83
2013,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",1.91
2014,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",1.96
2018,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population",1.57
2004,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population",4.53
2008,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population",3.54
2009,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population",3.9
2010,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population",7.06
2011,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population",13.93
2012,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population",13.93
2013,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population",8.85
2014,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population",9.27
2015,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population",8.65
2016,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population",10.36
