Year,SOURCE_DETAIL,SDG Series,Value
2011,"DHS 2011. UNFPA Global Database, 2022.","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",13.2
2015,"DHS Continuous 2015. UNFPA Global Database, 2022.","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",7.1
2016,"DHS Continuous 2016. UNFPA Global Database, 2022.","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",4.9
2017,"DHS Continuous 2017. UNFPA Global Database, 2022.","Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",7.0
2011,"DHS 2011. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding contraceptive use (% of women aged 15-49 years) [5.6.1],83.2
2015,"DHS Continuous 2015. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding contraceptive use (% of women aged 15-49 years) [5.6.1],87.5
2016,"DHS Continuous 2016. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding contraceptive use (% of women aged 15-49 years) [5.6.1],88.9
2017,"DHS Continuous 2017. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding contraceptive use (% of women aged 15-49 years) [5.6.1],84.6
2011,"DHS 2011. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years) [5.6.1],37.2
2015,"DHS Continuous 2015. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years) [5.6.1],24.0
2016,"DHS Continuous 2016. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years) [5.6.1],18.6
2017,"DHS Continuous 2017. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years) [5.6.1],30.7
2011,"DHS 2011. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years) [5.6.1],35.5
2015,"DHS Continuous 2015. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years) [5.6.1],24.3
2016,"DHS Continuous 2016. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years) [5.6.1],19.3
2017,"DHS Continuous 2017. UNFPA Global Database, 2022.",Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years) [5.6.1],19.2
