Year,COMMENT_OBS,Value
2000,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",19.95112
2001,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",37.49562
2002,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",24.64161
2003,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",26.90931
2004,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",41.57951
2005,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",49.1954
2006,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",59.16595
2007,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",102.85829
2008,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",114.02703
2009,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",114.01946
2010,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",162.35426
2011,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",165.41674
2012,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",180.98074
2013,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",186.43763
2014,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",193.53013
2015,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",166.47823
2016,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",207.69203
2017,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",230.17982
2018,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",278.86668
2019,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",205.59507
2020,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",196.22814
