Year,NATURE,SOURCE_DETAIL,SDG Series,Observation-level footnotes,COMMENT_OBS,Value
2003,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Proportion of population covered by at least a 2G mobile network [9.c.1],juin 2020,,85.0
2004,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Proportion of population covered by at least a 2G mobile network [9.c.1],juin 2020,,85.0
2005,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Proportion of population covered by at least a 2G mobile network [9.c.1],juin 2020,,85.0
2006,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Proportion of population covered by at least a 2G mobile network [9.c.1],juin 2020,,83.0
2007,C,ARTP Sénégal,Proportion of population covered by at least a 2G mobile network [9.c.1],juin 2020,,85.0
2008,C,ARTP Sénégal,Proportion of population covered by at least a 2G mobile network [9.c.1],juin 2020,,86.0
2009,C,ARTP Sénégal,Proportion of population covered by at least a 2G mobile network [9.c.1],juin 2020,,87.0
2010,C,Agence de Régulation des Télécommunications et des Postes (ARTP),Proportion of population covered by at least a 2G mobile network [9.c.1],juin 2020,,90.0
2011,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Proportion of population covered by at least a 2G mobile network [9.c.1],juin 2020,,90.0
2012,C,Autorité de Régulation des Télécommunications et des Postes (ARTP),Proportion of population covered by at least a 2G mobile network [9.c.1],juin 2020,,91.1
2013,C,Autorité de Régulation des Télécommunications et des Postes (ARTP),Proportion of population covered by at least a 2G mobile network [9.c.1],juin 2020,,91.6
2014,C,Autorité de Régulation des Télécommunications et des Postes (ARTP),Proportion of population covered by at least a 2G mobile network [9.c.1],juin 2020,,91.6
2015,C,Autorité de Régulation des Télécommunications et des Postes (ARTP),Proportion of population covered by at least a 2G mobile network [9.c.1],juin 2020,,92.0
2016,C,ARTP,Proportion of population covered by at least a 2G mobile network [9.c.1],juin 2020,,97.4
2017,C,ARTP,Proportion of population covered by at least a 2G mobile network [9.c.1],juin 2020,,97.7
2018,C,ARTP,Proportion of population covered by at least a 2G mobile network [9.c.1],juin 2020,,97.9
2019,C,ARTP,Proportion of population covered by at least a 2G mobile network [9.c.1],juin 2020,septembre 2019,98.0
2020,C,ARTP,Proportion of population covered by at least a 2G mobile network [9.c.1],juin 2020,juin 2020,99.0
2014,E,ITU estimate,Proportion of population covered by at least a 3G mobile network [9.c.1],septembre 2019,ITU estimate,25.0
2015,E,ITU estimate,Proportion of population covered by at least a 3G mobile network [9.c.1],septembre 2019,ITU estimate,40.0
2016,C,ARTP,Proportion of population covered by at least a 3G mobile network [9.c.1],septembre 2019,,50.0
2017,C,ARTP,Proportion of population covered by at least a 3G mobile network [9.c.1],septembre 2019,,66.29
2018,C,ARTP,Proportion of population covered by at least a 3G mobile network [9.c.1],septembre 2019,,92.2
2019,C,ARTP,Proportion of population covered by at least a 3G mobile network [9.c.1],septembre 2019,septembre 2019,92.1
2020,C,ARTP,Proportion of population covered by at least a 3G mobile network [9.c.1],septembre 2019,,99.0
2015,E,ITU estimate.,Proportion of population covered by at least a 4G mobile network [9.c.1],juin 2020,Obs_Value = 0;  ,0.0
2016,C,ARTP,Proportion of population covered by at least a 4G mobile network [9.c.1],juin 2020,,8.6
2017,C,ARTP,Proportion of population covered by at least a 4G mobile network [9.c.1],juin 2020,,36.5
2018,C,ARTP,Proportion of population covered by at least a 4G mobile network [9.c.1],juin 2020,,62.0
2019,C,ARTP,Proportion of population covered by at least a 4G mobile network [9.c.1],juin 2020,septembre 2019,66.8
2020,C,ARTP,Proportion of population covered by at least a 4G mobile network [9.c.1],juin 2020,juin 2020,74.7
