Year,SDG Series,Value
2006,Non-performing loans to total gross loans (%) [10.5.1],18.85746
2007,Non-performing loans to total gross loans (%) [10.5.1],9.11845
2008,Non-performing loans to total gross loans (%) [10.5.1],9.00446
2009,Non-performing loans to total gross loans (%) [10.5.1],7.9811
2010,Non-performing loans to total gross loans (%) [10.5.1],6.27921
2011,Non-performing loans to total gross loans (%) [10.5.1],4.42119
2012,Non-performing loans to total gross loans (%) [10.5.1],4.59096
2013,Non-performing loans to total gross loans (%) [10.5.1],5.04358
2014,Non-performing loans to total gross loans (%) [10.5.1],5.45512
2015,Non-performing loans to total gross loans (%) [10.5.1],5.98876
2016,Non-performing loans to total gross loans (%) [10.5.1],8.58597
2017,Non-performing loans to total gross loans (%) [10.5.1],9.94913
2018,Non-performing loans to total gross loans (%) [10.5.1],12.02673
2019,Non-performing loans to total gross loans (%) [10.5.1],12.01409
2020,Non-performing loans to total gross loans (%) [10.5.1],14.13866
2021,Non-performing loans to total gross loans (%) [10.5.1],13.13869
2006,Return on assets (%) [10.5.1],3.73923
2007,Return on assets (%) [10.5.1],4.20283
2008,Return on assets (%) [10.5.1],3.73899
2009,Return on assets (%) [10.5.1],3.52079
2010,Return on assets (%) [10.5.1],4.75381
2011,Return on assets (%) [10.5.1],4.6693
2012,Return on assets (%) [10.5.1],4.81798
2013,Return on assets (%) [10.5.1],4.8177
2014,Return on assets (%) [10.5.1],4.63055
2015,Return on assets (%) [10.5.1],4.00657
2016,Return on assets (%) [10.5.1],3.71673
2017,Return on assets (%) [10.5.1],3.12141
2018,Return on assets (%) [10.5.1],3.34703
2019,Return on assets (%) [10.5.1],3.29247
2020,Return on assets (%) [10.5.1],2.08795
2006,Regulatory capital to assets (%) [10.5.1],10.69396
2007,Regulatory capital to assets (%) [10.5.1],11.79403
2008,Regulatory capital to assets (%) [10.5.1],10.29547
2009,Regulatory capital to assets (%) [10.5.1],10.41406
2010,Regulatory capital to assets (%) [10.5.1],11.71403
2011,Regulatory capital to assets (%) [10.5.1],11.63858
2012,Regulatory capital to assets (%) [10.5.1],11.38135
2013,Regulatory capital to assets (%) [10.5.1],12.266
2014,Regulatory capital to assets (%) [10.5.1],12.71167
2015,Regulatory capital to assets (%) [10.5.1],12.39133
2016,Regulatory capital to assets (%) [10.5.1],12.81687
2017,Regulatory capital to assets (%) [10.5.1],11.52648
2018,Regulatory capital to assets (%) [10.5.1],13.2351
2019,Regulatory capital to assets (%) [10.5.1],12.81209
2020,Regulatory capital to assets (%) [10.5.1],12.28833
2021,Regulatory capital to assets (%) [10.5.1],12.08639
2006,Non-performing loans net of provisions to capital (%) [10.5.1],29.70216
2007,Non-performing loans net of provisions to capital (%) [10.5.1],15.85452
2008,Non-performing loans net of provisions to capital (%) [10.5.1],15.46282
2009,Non-performing loans net of provisions to capital (%) [10.5.1],15.6856
2010,Non-performing loans net of provisions to capital (%) [10.5.1],8.98406
2011,Non-performing loans net of provisions to capital (%) [10.5.1],6.81267
2012,Non-performing loans net of provisions to capital (%) [10.5.1],6.78415
2013,Non-performing loans net of provisions to capital (%) [10.5.1],8.80022
2014,Non-performing loans net of provisions to capital (%) [10.5.1],9.93639
2015,Non-performing loans net of provisions to capital (%) [10.5.1],12.35065
2016,Non-performing loans net of provisions to capital (%) [10.5.1],17.78111
2017,Non-performing loans net of provisions to capital (%) [10.5.1],27.08604
2018,Non-performing loans net of provisions to capital (%) [10.5.1],21.22963
2019,Non-performing loans net of provisions to capital (%) [10.5.1],21.29414
2020,Non-performing loans net of provisions to capital (%) [10.5.1],21.61407
2021,Non-performing loans net of provisions to capital (%) [10.5.1],18.36254
2006,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],15.91442
2007,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],18.07415
2008,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],16.86543
2009,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],17.37008
2010,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],18.65254
2011,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],17.31333
2012,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],18.10978
2013,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],19.42279
2014,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],15.93249
2015,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],18.19752
2016,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],16.93957
2017,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],14.69185
2018,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],17.22892
2019,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],16.7846
2020,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],16.7225
2021,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],16.74188
2008,Net open position in foreign exchange to capital (%) [10.5.1],18.43558
2009,Net open position in foreign exchange to capital (%) [10.5.1],-6.29947
2010,Net open position in foreign exchange to capital (%) [10.5.1],12.47797
2011,Net open position in foreign exchange to capital (%) [10.5.1],9.84137
2012,Net open position in foreign exchange to capital (%) [10.5.1],5.75377
2013,Net open position in foreign exchange to capital (%) [10.5.1],-3.07397
2014,Net open position in foreign exchange to capital (%) [10.5.1],4.36583
2015,Net open position in foreign exchange to capital (%) [10.5.1],2.72863
2016,Net open position in foreign exchange to capital (%) [10.5.1],6.71862
2017,Net open position in foreign exchange to capital (%) [10.5.1],2.36621
2018,Net open position in foreign exchange to capital (%) [10.5.1],3.19253
2019,Net open position in foreign exchange to capital (%) [10.5.1],-0.30621
2020,Net open position in foreign exchange to capital (%) [10.5.1],-0.03499
2021,Net open position in foreign exchange to capital (%) [10.5.1],-1.04745
