Year,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SDG Series,Observation-level footnotes,Upper bound value,Lower bound value,Value
2000,LowerBound = 0.00000;  ,23.695,0,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],LowerBound = 0.00000;  ,23.9064,23.9064,12.30922
2001,,23.695,0.12195,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],LowerBound = 0.00000;  ,23.9064,23.9064,14.31834
2002,,23.695,0.25673,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],LowerBound = 0.00000;  ,23.9064,23.9064,14.31834
2003,,23.695,0.25673,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],LowerBound = 0.00000;  ,23.9064,23.9064,14.57508
2004,,23.695,0.25673,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],LowerBound = 0.00000;  ,23.9064,23.9064,20.50566
2005,,23.695,1.52776,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],LowerBound = 0.00000;  ,23.9064,23.9064,20.63403
2006,,23.695,3.18932,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],LowerBound = 0.00000;  ,23.9064,23.9064,20.7624
2007,,23.695,3.18932,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],LowerBound = 0.00000;  ,23.9064,23.9064,23.43825
2008,,23.695,3.18932,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],LowerBound = 0.00000;  ,23.9064,23.9064,23.43825
2009,,23.695,6.1283,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],LowerBound = 0.00000;  ,23.9064,23.9064,23.69498
2010,,23.695,9.37664,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],LowerBound = 0.00000;  ,23.9064,23.9064,23.69498
2011,,23.9064,9.58801,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],LowerBound = 0.00000;  ,23.9064,23.9064,23.90635
2012,,23.9064,10.859,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],LowerBound = 0.00000;  ,23.9064,23.9064,23.90635
2013,,23.9064,12.5206,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],LowerBound = 0.00000;  ,23.9064,23.9064,23.90635
2014,,23.9064,12.5206,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],LowerBound = 0.00000;  ,23.9064,23.9064,23.90635
2015,,23.9064,12.5206,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],LowerBound = 0.00000;  ,23.9064,23.9064,23.90635
2016,,23.9064,12.5206,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],LowerBound = 0.00000;  ,23.9064,23.9064,23.90635
2017,,23.9064,12.5206,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],LowerBound = 0.00000;  ,23.9064,23.9064,23.90635
2018,,23.9064,23.9064,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],LowerBound = 0.00000;  ,23.9064,23.9064,23.90635
2019,,23.9064,23.9064,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],LowerBound = 0.00000;  ,23.9064,23.9064,23.90635
2020,,23.9064,23.9064,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],LowerBound = 0.00000;  ,23.9064,23.9064,23.90635
2021,,23.9064,23.9064,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],LowerBound = 0.00000;  ,23.9064,23.9064,23.90635
2000,,41.0625,36.7968,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,45.4146,45.4146,39.13575
2001,,41.2133,37.0041,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,45.4146,45.4146,39.64301
2002,,41.2133,37.0041,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,45.4146,45.4146,39.64301
2003,,41.2133,37.0041,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,45.4146,45.4146,39.64301
2004,,42.7981,39.3425,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,45.4146,45.4146,42.14481
2005,,42.7981,39.3425,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,45.4146,45.4146,42.14481
2006,,42.7981,39.3425,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,45.4146,45.4146,42.14481
2007,,42.7981,39.3425,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,45.4146,45.4146,42.14481
2008,,42.7981,39.3425,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,45.4146,45.4146,42.14481
2009,,42.7981,39.3425,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,45.4146,45.4146,42.14481
2010,,42.7981,39.3425,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,45.4146,45.4146,42.14481
2011,,42.8342,39.4158,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,45.4146,45.4146,42.3454
2012,,42.8342,39.4158,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,45.4146,45.4146,42.3454
2013,,42.8342,39.4158,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,45.4146,45.4146,42.3454
2014,,42.8342,39.9064,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,45.4146,45.4146,42.47771
2015,,42.8342,39.9064,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,45.4146,45.4146,42.47771
2016,,42.8342,39.9064,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,45.4146,45.4146,42.47771
2017,,45.1479,43.2503,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,45.4146,45.4146,45.14789
2018,,45.1479,43.2503,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,45.4146,45.4146,45.14789
2019,,45.1479,43.2503,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,45.4146,45.4146,45.14789
2020,,45.4146,45.4146,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,45.4146,45.4146,45.41463
2021,,45.4146,45.4146,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],,45.4146,45.4146,45.41463
