Year,UNIT_MULT,SDG Series,Unit of measure,Unit multiplier,Value
2000,0,Total government revenue as a proportion of GDP [17.1.1],Percent,Units,14.33518
2001,0,Total government revenue as a proportion of GDP [17.1.1],Percent,Units,13.9269
2009,0,Total government revenue as a proportion of GDP [17.1.1],Percent,Units,17.17568
2010,0,Total government revenue as a proportion of GDP [17.1.1],Percent,Units,17.53027
2011,0,Total government revenue as a proportion of GDP [17.1.1],Percent,Units,18.17282
2012,0,Total government revenue as a proportion of GDP [17.1.1],Percent,Units,18.3312
2013,0,Total government revenue as a proportion of GDP [17.1.1],Percent,Units,17.75464
2014,0,Total government revenue as a proportion of GDP [17.1.1],Percent,Units,19.80005
2015,0,Total government revenue as a proportion of GDP [17.1.1],Percent,Units,21.63368
2016,0,Total government revenue as a proportion of GDP [17.1.1],Percent,Units,22.25135
2017,0,Total government revenue as a proportion of GDP [17.1.1],Percent,Units,24.5115
2018,0,Total government revenue as a proportion of GDP [17.1.1],Percent,Units,24.55693
2019,0,Total government revenue as a proportion of GDP [17.1.1],Percent,Units,24.33385
2020,0,Total government revenue as a proportion of GDP [17.1.1],Percent,Units,22.57622
2000,6,"Total government revenue, in local currency [17.1.1]",Local currency,Millions,612200.0
2001,6,"Total government revenue, in local currency [17.1.1]",Local currency,Millions,663800.0
2009,6,"Total government revenue, in local currency [17.1.1]",Local currency,Millions,1304200.0
2010,6,"Total government revenue, in local currency [17.1.1]",Local currency,Millions,1398343.1238
2011,6,"Total government revenue, in local currency [17.1.1]",Local currency,Millions,1525600.0
2012,6,"Total government revenue, in local currency [17.1.1]",Local currency,Millions,1652900.0
2013,6,"Total government revenue, in local currency [17.1.1]",Local currency,Millions,1658980.0
2014,6,"Total government revenue, in local currency [17.1.1]",Local currency,Millions,1935462.26971
2015,6,"Total government revenue, in local currency [17.1.1]",Local currency,Millions,2273407.24217
2016,6,"Total government revenue, in local currency [17.1.1]",Local currency,Millions,2510707.44088
2017,6,"Total government revenue, in local currency [17.1.1]",Local currency,Millions,2988391.80832
2018,6,"Total government revenue, in local currency [17.1.1]",Local currency,Millions,3153131.89649
2019,6,"Total government revenue, in local currency [17.1.1]",Local currency,Millions,3322876.57668
2020,6,"Total government revenue, in local currency [17.1.1]",Local currency,Millions,3202535.14461
