Year,UPPER_BOUND,LOWER_BOUND,SDG Series,Upper bound value,Lower bound value,Value
2000,67.8,51,Proportion of women aged 15-49 years with anaemia [2.2.3],62.7,42.8,59.8
2001,66.9,51.8,Proportion of women aged 15-49 years with anaemia [2.2.3],62.7,42.8,59.7
2002,66.1,52.5,Proportion of women aged 15-49 years with anaemia [2.2.3],62.7,42.8,59.6
2003,65.7,53.1,Proportion of women aged 15-49 years with anaemia [2.2.3],62.7,42.8,59.5
2004,65.2,53.3,Proportion of women aged 15-49 years with anaemia [2.2.3],62.7,42.8,59.4
2005,64.8,53.6,Proportion of women aged 15-49 years with anaemia [2.2.3],62.7,42.8,59.2
2006,64.2,53.5,Proportion of women aged 15-49 years with anaemia [2.2.3],62.7,42.8,59.0
2007,63.6,53.3,Proportion of women aged 15-49 years with anaemia [2.2.3],62.7,42.8,58.6
2008,63.1,53,Proportion of women aged 15-49 years with anaemia [2.2.3],62.7,42.8,58.1
2009,62.4,52.5,Proportion of women aged 15-49 years with anaemia [2.2.3],62.7,42.8,57.5
2010,61.7,52.1,Proportion of women aged 15-49 years with anaemia [2.2.3],62.7,42.8,56.9
2011,61.3,51.5,Proportion of women aged 15-49 years with anaemia [2.2.3],62.7,42.8,56.4
2012,60.8,50.9,Proportion of women aged 15-49 years with anaemia [2.2.3],62.7,42.8,55.9
2013,60.6,50.2,Proportion of women aged 15-49 years with anaemia [2.2.3],62.7,42.8,55.4
2014,60.5,49.3,Proportion of women aged 15-49 years with anaemia [2.2.3],62.7,42.8,54.9
2015,60.5,48.5,Proportion of women aged 15-49 years with anaemia [2.2.3],62.7,42.8,54.5
2016,60.7,47.4,Proportion of women aged 15-49 years with anaemia [2.2.3],62.7,42.8,54.0
2017,61,46,Proportion of women aged 15-49 years with anaemia [2.2.3],62.7,42.8,53.6
2018,61.8,44.5,Proportion of women aged 15-49 years with anaemia [2.2.3],62.7,42.8,53.1
2019,62.7,42.8,Proportion of women aged 15-49 years with anaemia [2.2.3],62.7,42.8,52.7
2000,68.6,50.1,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",63.2,41.7,59.7
2001,67.6,50.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",63.2,41.7,59.7
2002,66.8,51.8,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",63.2,41.7,59.6
2003,66.2,52.5,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",63.2,41.7,59.5
2004,65.9,52.7,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",63.2,41.7,59.4
2005,65.3,52.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",63.2,41.7,59.2
2006,64.7,52.8,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",63.2,41.7,58.9
2007,64,52.7,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",63.2,41.7,58.5
2008,63.4,52.4,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",63.2,41.7,58.0
2009,62.8,51.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",63.2,41.7,57.4
2010,61.9,51.4,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",63.2,41.7,56.8
2011,61.6,50.8,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",63.2,41.7,56.2
2012,61.1,50.2,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",63.2,41.7,55.6
2013,60.9,49.3,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",63.2,41.7,55.1
2014,60.7,48.5,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",63.2,41.7,54.6
2015,60.9,47.6,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",63.2,41.7,54.2
2016,61.1,46.6,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",63.2,41.7,53.7
