Year,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Observation-level footnotes,Source details,Value
2020,C,"Obs_Value = 0;  Out of 32 local breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 21.11.2022 http://www.fao.org/dad-is/,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],"Obs_Value = 0;  Out of 32 local breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 21.11.2022 http://www.fao.org/dad-is/,0
2021,C,"Obs_Value = 0;  Out of 32 local breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 21.11.2022 http://www.fao.org/dad-is/,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],"Obs_Value = 0;  Out of 32 local breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 21.11.2022 http://www.fao.org/dad-is/,0
2022,E,"Obs_Value = 0;  Out of 32 local breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 21.11.2022 http://www.fao.org/dad-is/,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],"Obs_Value = 0;  Out of 32 local breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 21.11.2022 http://www.fao.org/dad-is/,0
2020,C,"Obs_Value = 0;  Out of 56 transboundary breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,Number of transboundary breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],"Obs_Value = 0;  Out of 56 transboundary breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,0
2021,C,"Obs_Value = 0;  Out of 56 transboundary breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,Number of transboundary breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],"Obs_Value = 0;  Out of 56 transboundary breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,0
2022,E,"Obs_Value = 0;  Out of 56 transboundary breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,Number of transboundary breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],"Obs_Value = 0;  Out of 56 transboundary breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,0
1995,E,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),43722
2000,E,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),44790
2005,E,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),47726
2010,E,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),49396
2012,E,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),49505
2014,C,,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),50068
2016,C,,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),50323
2017,E,Estimate based on 2016 report.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),50323
2018,C,,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),51023
2019,C,,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),51405
2020,E,Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),51405
2021,E,Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),51405
