Year,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Type of product,Nature of data points,Observation-level footnotes,Source details,Value
2010,Abnormally high defined as IFPA>=1; Moderately high defined as 0.5=<IFPA< 1; Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",,Not Available,Obs_Value = NaN;  NaN = A figure was not provided,NA,0.43
2011,Abnormally high defined as IFPA>=1; Moderately high defined as 0.5=<IFPA< 1; Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",,Not Available,Obs_Value = NaN;  NaN = A figure was not provided,NA,1.033
2012,Abnormally high defined as IFPA>=1; Moderately high defined as 0.5=<IFPA< 1; Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",,Not Available,Obs_Value = NaN;  NaN = A figure was not provided,NA,-0.056
2013,Abnormally high defined as IFPA>=1; Moderately high defined as 0.5=<IFPA< 1; Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",,Not Available,Obs_Value = NaN;  NaN = A figure was not provided,NA,-0.376
2014,Abnormally high defined as IFPA>=1; Moderately high defined as 0.5=<IFPA< 1; Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",,Not Available,Obs_Value = NaN;  NaN = A figure was not provided,NA,-0.757
2015,Abnormally high defined as IFPA>=1; Moderately high defined as 0.5=<IFPA< 1; Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",,Not Available,Obs_Value = NaN;  NaN = A figure was not provided,NA,0.198
2016,Abnormally high defined as IFPA>=1; Moderately high defined as 0.5=<IFPA< 1; Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",,Not Available,Obs_Value = NaN;  NaN = A figure was not provided,NA,0.486
2017,Abnormally high defined as IFPA>=1; Moderately high defined as 0.5=<IFPA< 1; Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",,Not Available,Obs_Value = NaN;  NaN = A figure was not provided,NA,-0.543
2018,Abnormally high defined as IFPA>=1; Moderately high defined as 0.5=<IFPA< 1; Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",,Not Available,Obs_Value = NaN;  NaN = A figure was not provided,NA,-0.193
2019,Abnormally high defined as IFPA>=1; Moderately high defined as 0.5=<IFPA< 1; Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",,Not Available,Obs_Value = NaN;  NaN = A figure was not provided,NA,-0.548
