Year,COMMENT_OBS,SOURCE_DETAIL,Value
2000,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife","Rapport de l'Enquête sur les Objectifs de la Fin de Decennie sur l'Enfance (MICS-II-2000). Sénégal: Gouvernement du Sénégal, Fonds des Nations Unies pour l'Enfance (UNICEF); 2000 (in French).",57.8
2004,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",Rapport de Synthèse de la Deuxième Enquête Sénégalaise Auprès des Ménagés (ESAM-II). Sénégal: Ministère de l'Economie et des Finances; 2004 (in French).,58.0
2005,Definition includes other cadres that is not in alignment with the standard definition,"Ndiaye S, Ayad M (Centre de Recherche pour le Développement Humain [Sénégal], ORC Macro). Enquête Démographique et de Santé au Sénégal 2005. Calverton, Maryland, USA: Centre de Recherche pour le Développement Humain [Sénégal], ORC Macro; 2006 (in French).",51.9
2011,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife","Agence Nationale de la Statistique et de la Démographie (ANSD) [Sénégal], ICF International. Enquête Démographique et de Santé à Indicateurs Multiples au Sénégal (EDS-MICS) 2010-2011. Calverton, Maryland, USA: ANSD, ICF International; 2012 (in French).",65.1
2013,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife","Agence Nationale de la Statistique et de la Démographie (ANSD) [Sénégal], ICF International. Enquête Démographique et de Santé Continue (EDS-Continue 2012-2013). Calverton, Maryland, USA: ANSD, ICF International; 2013 (in French).",50.5
2014,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife","Agence Nationale de la Statistique et de la Démographie (ANSD) [Sénégal], ICF International. Sénégal : Enquête Démographique et de Santé Continue (EDS-Continue 2014). Rockville, Maryland, USA : ANSD, ICF International; 2015 (in French).",59.1
2015,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife","Agence Nationale de la Statistique et de la Démographie (ANSD) [Sénégal], ICF. Sénégal: Enquête Démographique et de Santé Continue 2015 (EDS-Continue). Rockville, Maryland, USA : ANSD, ICF; 2016 (in French).",53.2
2016,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife","Agence Nationale de la Statistique et de la Démographie (ANSD) [Sénégal], ICF. Sénégal: Enquête Démographique et de Santé Continue (EDS-Continue) 2016. Rockville, Maryland, USA: ANSD, ICF; 2017 (in French).",58.6
2017,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife","Sénégal: Enquête Démographique et de Santé Continue (EDS-Continue) 2017. Rockville, Maryland, USA: Agence Nationale de la Statistique et de la Démographie (ANSD), ICF;  2018 (in French).",68.4
2018,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife","Sénégal: Enquête Démographique et de Santé Continue (EDS-Continue) 2018. Rockville, Maryland, USA: Agence Nationale de la Statistique et de la Démographie (ANSD), ICF;  2019 (in French).",74.2
2019,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife","Sénégal: Enquête Démographique et de Santé Continue (EDS-Continue) 2019.  Rockville, Maryland, USA: Agence Nationale de la Statistique et de la Démographie (ANSD), ICF;  2020 (in French).",74.5
