Year,Sex,Age,Value
2000,,,0.64
2001,,,0.64
2002,,,0.62
2003,,,0.58
2004,,,0.53
2005,,,0.49
2006,,,0.42
2007,,,0.35
2008,,,0.25
2009,,,0.21
2010,,,0.18
2011,,,0.15
2012,,,0.13
2013,,,0.11
2014,,,0.11
2015,,,0.1
2016,,,0.09
2017,,,0.09
2018,,,0.09
2019,,,0.08
2020,,,0.08
2000,,50 years old and over,0.22
2001,,50 years old and over,0.21
2002,,50 years old and over,0.2
2003,,50 years old and over,0.19
2004,,50 years old and over,0.17
2005,,50 years old and over,0.15
2006,,50 years old and over,0.12
2007,,50 years old and over,0.1
2008,,50 years old and over,0.07
2009,,50 years old and over,0.06
2010,,50 years old and over,0.04
2011,,50 years old and over,0.03
2012,,50 years old and over,0.03
2013,,50 years old and over,0.02
2014,,50 years old and over,0.02
2015,,50 years old and over,0.02
2016,,50 years old and over,0.03
2017,,50 years old and over,0.03
2018,,50 years old and over,0.02
2019,,50 years old and over,0.02
2020,,50 years old and over,0.02
2000,,under 15 years old,0.27
2001,,under 15 years old,0.28
2002,,under 15 years old,0.29
2003,,under 15 years old,0.3
2004,,under 15 years old,0.29
2005,,under 15 years old,0.29
2006,,under 15 years old,0.27
2007,,under 15 years old,0.25
2008,,under 15 years old,0.2
2009,,under 15 years old,0.18
2010,,under 15 years old,0.18
2011,,under 15 years old,0.16
2012,,under 15 years old,0.15
2013,,under 15 years old,0.12
2014,,under 15 years old,0.11
2015,,under 15 years old,0.09
2016,,under 15 years old,0.08
2017,,under 15 years old,0.07
2018,,under 15 years old,0.06
2019,,under 15 years old,0.05
2020,,under 15 years old,0.04
2000,,15 to 24 years old,0.52
2001,,15 to 24 years old,0.51
2002,,15 to 24 years old,0.49
2003,,15 to 24 years old,0.44
2004,,15 to 24 years old,0.39
2005,,15 to 24 years old,0.36
2006,,15 to 24 years old,0.3
2007,,15 to 24 years old,0.24
2008,,15 to 24 years old,0.16
2009,,15 to 24 years old,0.13
2010,,15 to 24 years old,0.1
2011,,15 to 24 years old,0.08
2012,,15 to 24 years old,0.06
2013,,15 to 24 years old,0.06
2014,,15 to 24 years old,0.05
2015,,15 to 24 years old,0.06
2016,,15 to 24 years old,0.06
2017,,15 to 24 years old,0.06
2018,,15 to 24 years old,0.06
2019,,15 to 24 years old,0.06
2020,,15 to 24 years old,0.05
2000,,15 to 49 years old,1.1
2001,,15 to 49 years old,1.07
2002,,15 to 49 years old,1.02
2003,,15 to 49 years old,0.93
2004,,15 to 49 years old,0.82
2005,,15 to 49 years old,0.75
2006,,15 to 49 years old,0.62
2007,,15 to 49 years old,0.5
2008,,15 to 49 years old,0.34
2009,,15 to 49 years old,0.28
2010,,15 to 49 years old,0.21
2011,,15 to 49 years old,0.16
2012,,15 to 49 years old,0.13
2013,,15 to 49 years old,0.12
2014,,15 to 49 years old,0.12
2015,,15 to 49 years old,0.12
2016,,15 to 49 years old,0.12
2017,,15 to 49 years old,0.12
2018,,15 to 49 years old,0.13
2019,,15 to 49 years old,0.12
2020,,15 to 49 years old,0.12
2000,Female,,0.6
2001,Female,,0.59
2002,Female,,0.58
2003,Female,,0.54
2004,Female,,0.49
2005,Female,,0.46
2006,Female,,0.39
2007,Female,,0.33
2008,Female,,0.24
2009,Female,,0.2
2010,Female,,0.17
2011,Female,,0.14
2012,Female,,0.12
2013,Female,,0.1
2014,Female,,0.1
2015,Female,,0.09
2016,Female,,0.09
2017,Female,,0.09
2018,Female,,0.08
2019,Female,,0.07
2020,Female,,0.07
2000,Female,50 years old and over,0.18
2001,Female,50 years old and over,0.17
2002,Female,50 years old and over,0.16
2003,Female,50 years old and over,0.15
2004,Female,50 years old and over,0.13
2005,Female,50 years old and over,0.12
2006,Female,50 years old and over,0.1
2007,Female,50 years old and over,0.08
2008,Female,50 years old and over,0.06
2009,Female,50 years old and over,0.05
2010,Female,50 years old and over,0.03
2011,Female,50 years old and over,0.03
2012,Female,50 years old and over,0.02
2013,Female,50 years old and over,0.02
2014,Female,50 years old and over,0.02
2015,Female,50 years old and over,0.02
2016,Female,50 years old and over,0.02
2017,Female,50 years old and over,0.02
2018,Female,50 years old and over,0.02
2019,Female,50 years old and over,0.02
2020,Female,50 years old and over,0.02
2000,Female,15 to 24 years old,0.66
2001,Female,15 to 24 years old,0.64
2002,Female,15 to 24 years old,0.61
2003,Female,15 to 24 years old,0.56
2004,Female,15 to 24 years old,0.5
2005,Female,15 to 24 years old,0.45
2006,Female,15 to 24 years old,0.37
2007,Female,15 to 24 years old,0.3
2008,Female,15 to 24 years old,0.21
2009,Female,15 to 24 years old,0.17
2010,Female,15 to 24 years old,0.12
2011,Female,15 to 24 years old,0.09
2012,Female,15 to 24 years old,0.08
2013,Female,15 to 24 years old,0.07
2014,Female,15 to 24 years old,0.07
2015,Female,15 to 24 years old,0.07
2016,Female,15 to 24 years old,0.07
2017,Female,15 to 24 years old,0.07
2018,Female,15 to 24 years old,0.07
2019,Female,15 to 24 years old,0.07
2020,Female,15 to 24 years old,0.07
2000,Female,15 to 49 years old,1.01
2001,Female,15 to 49 years old,0.98
2002,Female,15 to 49 years old,0.93
2003,Female,15 to 49 years old,0.85
2004,Female,15 to 49 years old,0.75
2005,Female,15 to 49 years old,0.68
2006,Female,15 to 49 years old,0.57
2007,Female,15 to 49 years old,0.46
2008,Female,15 to 49 years old,0.31
2009,Female,15 to 49 years old,0.26
2010,Female,15 to 49 years old,0.19
2011,Female,15 to 49 years old,0.15
2012,Female,15 to 49 years old,0.12
2013,Female,15 to 49 years old,0.11
2014,Female,15 to 49 years old,0.11
2015,Female,15 to 49 years old,0.11
2016,Female,15 to 49 years old,0.11
2017,Female,15 to 49 years old,0.11
2018,Female,15 to 49 years old,0.11
2019,Female,15 to 49 years old,0.11
2020,Female,15 to 49 years old,0.11
2000,Male,,0.68
2001,Male,,0.68
2002,Male,,0.66
2003,Male,,0.61
2004,Male,,0.56
2005,Male,,0.52
2006,Male,,0.45
2007,Male,,0.38
2008,Male,,0.27
2009,Male,,0.23
2010,Male,,0.19
2011,Male,,0.16
2012,Male,,0.14
2013,Male,,0.12
2014,Male,,0.11
2015,Male,,0.1
2016,Male,,0.1
2017,Male,,0.1
2018,Male,,0.09
2019,Male,,0.09
2020,Male,,0.08
2000,Male,50 years old and over,0.27
2001,Male,50 years old and over,0.27
2002,Male,50 years old and over,0.25
2003,Male,50 years old and over,0.23
2004,Male,50 years old and over,0.21
2005,Male,50 years old and over,0.19
2006,Male,50 years old and over,0.16
2007,Male,50 years old and over,0.12
2008,Male,50 years old and over,0.09
2009,Male,50 years old and over,0.07
2010,Male,50 years old and over,0.05
2011,Male,50 years old and over,0.04
2012,Male,50 years old and over,0.03
2013,Male,50 years old and over,0.03
2014,Male,50 years old and over,0.03
2015,Male,50 years old and over,0.03
2016,Male,50 years old and over,0.03
2017,Male,50 years old and over,0.03
2018,Male,50 years old and over,0.03
2019,Male,50 years old and over,0.03
2020,Male,50 years old and over,0.03
2000,Male,15 to 24 years old,0.39
2001,Male,15 to 24 years old,0.38
2002,Male,15 to 24 years old,0.36
2003,Male,15 to 24 years old,0.33
2004,Male,15 to 24 years old,0.29
2005,Male,15 to 24 years old,0.27
2006,Male,15 to 24 years old,0.22
2007,Male,15 to 24 years old,0.18
2008,Male,15 to 24 years old,0.12
2009,Male,15 to 24 years old,0.1
2010,Male,15 to 24 years old,0.07
2011,Male,15 to 24 years old,0.06
2012,Male,15 to 24 years old,0.05
2013,Male,15 to 24 years old,0.04
2014,Male,15 to 24 years old,0.04
2015,Male,15 to 24 years old,0.04
2016,Male,15 to 24 years old,0.04
2017,Male,15 to 24 years old,0.04
2018,Male,15 to 24 years old,0.04
2019,Male,15 to 24 years old,0.04
2020,Male,15 to 24 years old,0.04
2000,Male,15 to 49 years old,1.2
2001,Male,15 to 49 years old,1.17
2002,Male,15 to 49 years old,1.11
2003,Male,15 to 49 years old,1.01
2004,Male,15 to 49 years old,0.9
2005,Male,15 to 49 years old,0.81
2006,Male,15 to 49 years old,0.68
2007,Male,15 to 49 years old,0.55
2008,Male,15 to 49 years old,0.37
2009,Male,15 to 49 years old,0.31
2010,Male,15 to 49 years old,0.22
2011,Male,15 to 49 years old,0.17
2012,Male,15 to 49 years old,0.14
2013,Male,15 to 49 years old,0.13
2014,Male,15 to 49 years old,0.13
2015,Male,15 to 49 years old,0.13
2016,Male,15 to 49 years old,0.13
2017,Male,15 to 49 years old,0.14
2018,Male,15 to 49 years old,0.14
2019,Male,15 to 49 years old,0.13
2020,Male,15 to 49 years old,0.13
