Year,COMMENT_OBS,SDG Series,Observation-level footnotes,Value
2000,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",5.63138
2001,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",26.14341
2002,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",20.77301
2003,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",26.76592
2004,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",47.7095
2005,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",41.57343
2006,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",86.15085
2007,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",34.98794
2008,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",59.5005
2009,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",64.13761
2010,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",57.12285
2011,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",56.20699
2012,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",99.5039
2013,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",76.29047
