Year,Economic activity,Value
2000,,4.67449
2001,,4.20154
2002,,3.72503
2003,,3.87805
2004,,4.14514
2005,,4.26491
2006,,4.40562
2007,,4.66875
2008,,4.80548
2009,,4.86789
2010,,5.0448
2011,,5.27999
2012,,5.45648
2013,,5.65231
2014,,5.82809
2015,,6.06435
2016,,6.47574
2017,,6.96987
2018,,7.48532
2019,,7.82624
2000,Agriculture (ISIC4 A01 A0210 A0322),0.05547
2001,Agriculture (ISIC4 A01 A0210 A0322),0.05256
2002,Agriculture (ISIC4 A01 A0210 A0322),0.04024
2003,Agriculture (ISIC4 A01 A0210 A0322),0.04946
2004,Agriculture (ISIC4 A01 A0210 A0322),0.04666
2005,Agriculture (ISIC4 A01 A0210 A0322),0.0503
2006,Agriculture (ISIC4 A01 A0210 A0322),0.05006
2007,Agriculture (ISIC4 A01 A0210 A0322),0.04801
2008,Agriculture (ISIC4 A01 A0210 A0322),0.04654
2009,Agriculture (ISIC4 A01 A0210 A0322),0.04916
2010,Agriculture (ISIC4 A01 A0210 A0322),0.05179
2011,Agriculture (ISIC4 A01 A0210 A0322),0.05021
2012,Agriculture (ISIC4 A01 A0210 A0322),0.05615
2013,Agriculture (ISIC4 A01 A0210 A0322),0.05997
2014,Agriculture (ISIC4 A01 A0210 A0322),0.06127
2015,Agriculture (ISIC4 A01 A0210 A0322),0.0696
2016,Agriculture (ISIC4 A01 A0210 A0322),0.07461
2017,Agriculture (ISIC4 A01 A0210 A0322),0.08328
2018,Agriculture (ISIC4 A01 A0210 A0322),0.08877
2019,Agriculture (ISIC4 A01 A0210 A0322),0.09305
2000,Industries,36.30171
2001,Industries,43.25668
2002,Industries,45.22357
2003,Industries,45.27659
2004,Industries,48.16044
2005,Industries,47.59286
2006,Industries,47.5941
2007,Industries,49.85075
2008,Industries,50.24788
2009,Industries,52.81077
2010,Industries,54.45569
2011,Industries,59.01414
2012,Industries,60.42684
2013,Industries,60.27253
2014,Industries,61.48979
2015,Industries,67.23796
2016,Industries,69.8227
2017,Industries,74.01615
2018,Industries,81.32392
2019,Industries,83.53433
2000,Services (G to T),51.75018
2001,Services (G to T),54.16211
2002,Services (G to T),56.80848
2003,Services (G to T),60.05067
2004,Services (G to T),64.45623
2005,Services (G to T),67.42962
2006,Services (G to T),70.62283
2007,Services (G to T),75.29401
2008,Services (G to T),78.18876
2009,Services (G to T),78.03118
2010,Services (G to T),81.01141
2011,Services (G to T),83.67696
2012,Services (G to T),86.71576
2013,Services (G to T),91.1646
2014,Services (G to T),94.40071
2015,Services (G to T),96.17734
2016,Services (G to T),103.8656
2017,Services (G to T),112.39972
2018,Services (G to T),119.64084
2019,Services (G to T),125.96881
