Year,SDG Series,Value
2004,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",1.60952
2005,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",1.5756
2006,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",2.9194
2007,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",4.65148
2008,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",5.91937
2009,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",7.18002
2010,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",8.79607
2011,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",8.99053
2012,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",9.39426
2013,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",9.48624
2014,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",9.63579
2015,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",9.69468
2016,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",9.16225
2017,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",9.43021
2018,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",9.15422
2019,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",7.69196
2020,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",7.30441
2004,"Number of commercial bank branches per 100,000 adults [8.10.1]",2.70098
2005,"Number of commercial bank branches per 100,000 adults [8.10.1]",2.59511
2006,"Number of commercial bank branches per 100,000 adults [8.10.1]",2.68755
2007,"Number of commercial bank branches per 100,000 adults [8.10.1]",3.50699
2008,"Number of commercial bank branches per 100,000 adults [8.10.1]",4.06985
2009,"Number of commercial bank branches per 100,000 adults [8.10.1]",4.36007
2010,"Number of commercial bank branches per 100,000 adults [8.10.1]",4.65253
2011,"Number of commercial bank branches per 100,000 adults [8.10.1]",4.91727
2012,"Number of commercial bank branches per 100,000 adults [8.10.1]",5.18835
2013,"Number of commercial bank branches per 100,000 adults [8.10.1]",5.28285
2014,"Number of commercial bank branches per 100,000 adults [8.10.1]",5.47982
2015,"Number of commercial bank branches per 100,000 adults [8.10.1]",5.58568
2016,"Number of commercial bank branches per 100,000 adults [8.10.1]",5.36765
2017,"Number of commercial bank branches per 100,000 adults [8.10.1]",5.20748
2018,"Number of commercial bank branches per 100,000 adults [8.10.1]",5.00202
2019,"Number of commercial bank branches per 100,000 adults [8.10.1]",4.7891
2020,"Number of commercial bank branches per 100,000 adults [8.10.1]",4.6667
